#xsect squark-antisquark 2-fold degenerated in pb 
msq,xsects
700,0.1550283640696
800,0.0649441092948
900,0.028997963737199997
1000,0.01367882550664
1100,0.006720465482319999
1200,0.0034191818334
1300,0.0017751258266359997
1400,0.0009453447320639999
1500,0.000513776002758
1600,0.00028174072886799997
1700,0.0001565669100226
1800,8.962130964959999e-05
1900,5.944858220529999e-05
2000,2.8701272921999994e-05
2100,1.9158098316929998e-05
2200,9.43652734176e-06
