# xsect in pb ulWino+dLWino
msq,mneu,xsect
700.0,150.0,0.70032049
800.0,150.0,0.3758513535
900.0,150.0,0.2120514412
1000.0,150.0,0.1244992679
1100.0,150.0,0.0755573791
1200.0,150.0,0.04714689753
1300.0,150.0,0.03010528553
1400.0,150.0,0.01963406307
1500.0,150.0,0.01303279093
1600.0,150.0,0.0087803134
1700.0,150.0,0.005993507873
1800.0,150.0,0.004140530115
1900.0,150.0,0.0030888583204999997
2000.0,150.0,0.002037186526
2100.0,150.0,0.00153652892
700.0,200.0,0.618376856
800.0,200.0,0.33650566029999995
900.0,200.0,0.19191218389999998
1000.0,200.0,0.11370261395
1100.0,200.0,0.06951729950999999
1200.0,200.0,0.0436491721
1300.0,200.0,0.028036274450000002
1400.0,200.0,0.018363672295
1500.0,200.0,0.01223350052
1600.0,200.0,0.0082686824555
1700.0,200.0,0.0056609513439999995
1800.0,200.0,0.00391988067
1900.0,200.0,0.0029888245565
2000.0,200.0,0.001937152762
2100.0,200.0,0.0014364951560000001
700.0,250.0,0.536433222
800.0,250.0,0.2971599671
900.0,250.0,0.1717729266
1000.0,250.0,0.10290596
1100.0,250.0,0.06347721992
1200.0,250.0,0.04015144667
1300.0,250.0,0.02596726337
1400.0,250.0,0.01709328152
1500.0,250.0,0.01143421011
1600.0,250.0,0.007757051511
1700.0,250.0,0.005328394815
1800.0,250.0,0.003699231225
1900.0,250.0,0.0027681751114999997
2000.0,250.0,0.001837118998
2100.0,250.0,0.00138909551085
700.0,300.0,0.47125146596666667
800.0,300.0,0.26386546136666666
900.0,300.0,0.15551565114
1000.0,300.0,0.09369074152799999
1100.0,300.0,0.058080933888
1200.0,300.0,0.036899193840000004
1300.0,300.0,0.023845881846666667
1400.0,300.0,0.015763839186666666
1500.0,300.0,0.010584810085666668
1600.0,300.0,0.0072222014968
1700.0,300.0,0.0049732614716
1800.0,300.0,0.0034558837346666668
1900.0,300.0,0.0026546016091666663
2000.0,300.0,0.0017235454956666665
2100.0,300.0,0.0012755220085166666
700.0,350.0,0.40606970993333336
800.0,350.0,0.23057095563333332
900.0,350.0,0.13925837568
1000.0,350.0,0.08447552305600001
1100.0,350.0,0.052684647855999994
1200.0,350.0,0.03364694101
1300.0,350.0,0.021724500323333333
1400.0,350.0,0.014434396853333333
1500.0,350.0,0.009735410061333334
1600.0,350.0,0.006687351482599999
1700.0,350.0,0.0046181281282
1800.0,350.0,0.0032125362443333333
1900.0,350.0,0.0024761411128333332
2000.0,350.0,0.001609971993333333
2100.0,350.0,0.0011912468575
700.0,400.0,0.3408879539
800.0,400.0,0.1972764499
900.0,400.0,0.12300110021999999
1000.0,400.0,0.075260304584
1100.0,400.0,0.047288361824
1200.0,400.0,0.03039468818
1300.0,400.0,0.0196031188
1400.0,400.0,0.01310495452
1500.0,400.0,0.008886010037
1600.0,400.0,0.0061525014684
1700.0,400.0,0.0042629947848
1800.0,400.0,0.002969188754
1900.0,400.0,0.0022327936224999997
2000.0,400.0,0.001496398491
2100.0,400.0,0.0011362700578
700.0,450.0,0.29502489935
800.0,450.0,0.17256918605
900.0,450.0,0.10674382476
1000.0,450.0,0.066045086112
1100.0,450.0,0.041892075792
1200.0,450.0,0.027142435350000004
1300.0,450.0,0.01775351137
1400.0,450.0,0.011922189655
1500.0,450.0,0.008116153727
1600.0,450.0,0.0056176514542
1700.0,450.0,0.0039078614414
1800.0,450.0,0.0027374277765
1900.0,450.0,0.002001032645
2000.0,450.0,0.00138631147765
2100.0,450.0,0.00102618304445
700.0,500.0,0.2491618448
800.0,500.0,0.1478619222
900.0,500.0,0.0904865493
1000.0,500.0,0.05682986764
1100.0,500.0,0.03649578976
1200.0,500.0,0.02389018252
1300.0,500.0,0.01590390394
1400.0,500.0,0.01073942479
1500.0,500.0,0.007346297417
1600.0,500.0,0.00508280144
1700.0,500.0,0.003552728098
1800.0,500.0,0.002505666799
1900.0,500.0,0.0018909456316499999
2000.0,500.0,0.0012762244643
