#xsect wino pair production + at least one jet with pt>200GeV. In pb
msq,xsect
150,0.1820
200,0.11355170204008606
250,0.0451034040801721
300,0.0333222693867814
350,0.021541134693390703
400,0.00976
450,0.006983969472318149
500,0.0042079389446363
550,0.0031089694723181505
600,0.0020100000000000002
650,0.00152
700,0.00103
750,0.000787
800,0.000544
850,0.000423
900,0.00030200000000000005
950,0.0002355
