ew_mass,sq_mass,eff,eff_err
150,700,0.00572001282807474,0.00086232448330015
150,800,0.01118000880711195,0.00120556897994416
150,900,0.014950069082809901,0.00139409692614127
150,1000,0.0262599931279361,0.00184764641981218
150,1100,0.03587999999999987,0.00215972184996503
150,1200,0.04874980755081268,0.00251743016442463
150,1300,0.0634399637918748,0.00287179042207096
150,1400,0.0752701156252309,0.0031281142367722004
150,1500,0.09295009102183831,0.0034761330114742397
150,1600,0.23054644998268678,0.01041503761670476
150,1700,0.11024013736054267,0.00378565773433198
150,1800,0.1224600299056563,0.00398995668248814
150,2000,0.305307138760089,0.01222205299589573
150,2200,0.27902885934859195,0.0117284582676937
250,700,0.25106384331711645,0.011041791597831672
250,800,0.00610999309722867,0.00089123379400211
250,900,0.01378000635523408,0.00133843186837178
250,1000,0.02392000459767061,0.00176340658408382
250,1100,0.0357499714338156,0.00215580426009468
250,1200,0.049529739289208626,0.0025374889759853404
250,1300,0.058109900595940435,0.0027485076268824204
250,1400,0.07149988684692568,0.00304877121549611
250,1500,0.08528020975015516,0.0033296256325767498
250,1600,0.23878527838563166,0.01085388448051492
250,1700,0.2524790424355999,0.011104014318171191
250,1800,0.2683211126262224,0.011328548130596972
250,2000,0.2748241330264474,0.011501016499427781
250,2200,0.2890010195408629,0.01210493435148543
400,700,0.00214500156190671,0.00037339678950548005
400,800,0.00331499597547482,0.00046419167768441
400,1300,0.05017996587705504,0.00255409463457434
400,1400,0.06526022165390963,0.00291269727724664
400,1500,0.08541025913406117,0.00333215763509473
400,1800,0.03574997143379779,0.00215580426008376
400,2000,0.2783921308804042,0.01179588155647135
400,2200,0.3052953482552366,0.01234083651415602
500,700,0.00221000133804177,0.00053600439096113
500,800,0.0028600037674358803,0.00060975436363348
500,900,0.0041599955940524805,0.00073539123021364
500,1000,0.01014000057260827,0.0011481291399919901
500,1100,0.01780996565095826,0.0015216077880416399
500,1200,0.026259951595973812,0.00184764271159416
500,1300,0.039000041073860105,0.0022516662482915902
500,1400,0.049919837062910234,0.00254746935648946
500,1500,0.0724098553317386,0.00306811069058715
500,1600,0.22162854539410337,0.01023387153453899
500,1700,0.2273118161095504,0.010332349814928312
500,1800,0.2455506692287727,0.01094856772215024
500,2000,0.2720478074507365,0.01149612112291877
600,700,0.00156000226982262,0.00026000021017308003
600,800,0.00251333557515287,0.0003300171766684
600,900,0.00394334023472402,0.00041337395546850003
600,1300,0.03146001139194628,0.0020223230852377803
600,1400,0.044200088579972,0.00239708332910124
600,1500,0.05784995540700428,0.00274235003907163
600,1800,0.24390364814274332,0.01097374800283242
600,2000,0.2723427443873587,0.01154993942182938
700,700,0.00068062797686845,0.00030438598434465
700,800,0.0020800012567577103,0.00052000105888367
700,900,0.00351000345184788,0.00067550021300658
700,1000,0.00442000343021835,0.00075802392441672
700,1100,0.00688999028097146,0.00094641339838578
700,1200,0.01338989991285102,0.0013193491766152101
700,1300,0.02080006590904047,0.0016443844226473301
700,1400,0.031069984145309978,0.0020097514607638
700,1500,0.05017998105616613,0.00255409926720221
700,1600,0.17892073103308,0.009178433344331941
700,1700,0.18414289075472384,0.00938478590390978
700,1800,0.22796357158833414,0.01069885904878947
700,2000,0.26817484164148675,0.01156184572238774
800,800,0.00051999853833278,0.00025999922494767004
800,900,0.00337999523062786,0.00066287244951161
800,1000,0.00429000125812622,0.0007467934945528201
800,1100,0.00454999999999987,0.00076908992217356
800,1200,0.007929972731244331,0.00101532847124007
800,1300,0.01468997775502244,0.0013819176806994001
800,1400,0.02639003182845848,0.00185221590126976
800,1500,0.03314995943831936,0.00207593258381327
800,1600,0.16061976059291994,0.0088284537364283
800,1700,0.18239690019091007,0.00939390945510615
800,1800,0.20591325352194884,0.009884126724707041
800,2000,0.11153998073693046,0.0038079115231023104
900,900,0.00013000000000000002,0.00012999997574606755
900,1000,0.0039000156632184803,0.0007120395654793201
900,1100,0.00481000317174234,0.00079075935632291
900,1200,0.0059799726817798505,0.00088169932699511
900,1300,0.008189996683562071,0.00103184275361622
900,1400,0.01429999557224706,0.0013634514888144801
900,1500,0.02430995291434463,0.00177772105392596
900,1600,0.04069005523295557,0.00229993281615032
1000,1000,0.00065032540380379,0.00029083388333922
1000,1100,0.00403120933177001,0.00072402662092722
