ew_mass,sq_mass,eff,eff_err
150,700,0.04615007616667409,0.0024493882976646198
150,800,0.05238996665879873,0.00260972661392365
150,900,0.04732005526624792,0.00248024352906499
150,1000,0.03743986943078629,0.00220617230088775
150,1100,0.031589971434862495,0.00202649963751742
150,1200,0.02365992741916063,0.0017537907000196701
150,1300,0.020669914005685883,0.0016392373452314602
150,1400,0.01274001280539858,0.00128693184669374
150,1500,0.01104997640176924,0.00119854135856806
150,1600,0.00094100536623847,0.00066539174997308
150,1700,0.00663000396232356,0.0009283879591893401
150,1800,0.00402999626179293,0.00072380779411278
150,2000,0.0,0.0
150,2200,0.0,0.0
250,700,0.0009712387129595801,0.0006867664924793401
250,800,0.05186991402899254,0.00259674137571732
250,900,0.048360034815540756,0.00250734832865166
250,1000,0.04354990373585631,0.0023793901107535
250,1100,0.0324999428676312,0.00205547726809698
250,1200,0.027299922996874452,0.00188386975963563
250,1300,0.01833000985828155,0.0015436651415720601
250,1400,0.01391001433273374,0.0013447289901589701
250,1500,0.01222002554647407,0.00126039622324148
250,1600,0.00197343267572243,0.0009867166098533901
250,1700,0.00097671000721125,0.0006906381207220301
250,1800,0.00095658228956758,0.00067640599495625
250,2000,0.00048130223433669,0.0004813028310051
250,2200,0.0,0.0
400,700,0.00819000028398825,0.0007296233139326301
400,800,0.033149959754748985,0.0014679029723787
400,1300,0.021580008530736113,0.00167493260141285
400,1400,0.02131999999999987,0.0016648139395977703
400,1500,0.01092002274529998,0.00119146770583802
400,1800,0.03249994286773572,0.00205547726808788
400,2000,0.00049980757773102,0.0004998076724898401
400,2200,0.00049884867212245,0.00049884863374541
500,700,0.00169000133804177,0.00046872228757782996
500,800,0.00910000627907735,0.0010876594199679
500,900,0.04030006058172783,0.00228888545122536
500,1000,0.0540800412252542,0.00265148964178397
500,1100,0.04796993130174219,0.00249721153341556
500,1200,0.037959973597841624,0.00222143838537777
500,1300,0.025219966319413062,0.00181069001446983
500,1400,0.02105999019365488,0.0016546292118831802
500,1500,0.01651003109690857,0.0014650259840253699
500,1600,0.00141766660807902,0.0008184902017702801
500,1700,0.0014089589665650202,0.0008134625007328301
500,1800,0.0019526925507258003,0.0009763454683301801
500,2000,0.0,0.0
600,700,0.00043333427909186996,0.0001370321916665
600,800,0.002166664424847,0.00030641295071231
600,900,0.0135200023832276,0.00076541908803529
600,1300,0.0361399601282213,0.00216753076049692
600,1400,0.02860004429004983,0.00192821273138728
600,1500,0.020669999189226792,0.00163923630582751
600,1800,0.0014811975381358998,0.00085517102630349
600,2000,0.0,0.0
700,700,0.00108900758389163,0.00038502202605242996
700,800,0.00013000000000000002,0.0001300001887873
700,900,0.00182000690369186,0.00048641603723687
700,1000,0.01456000457365285,0.00137579107485209
700,1100,0.044069902238094594,0.00239355031103552
700,1200,0.05134976353024245,0.0025836872711826804
700,1300,0.044070072705922246,0.00239355737310131
700,1400,0.030549988675276068,0.0019928619550684
700,1500,0.025870032475075754,0.00183387568648024
700,1600,0.00235421919929222,0.00105284030472387
700,1700,0.00286975673162958,0.0011715733112133702
700,1800,0.0,0.0
700,2000,0.00049846732759772,0.00049846653951445
800,800,0.00103999853833278,0.00036769443012744
800,900,0.0006500000000000001,0.00029068871063713
800,1000,0.0033799962256127604,0.0006628727574300001
800,1100,0.01521001017353285,0.0014061646271679498
800,1200,0.04900985869834795,0.00252413179697757
800,1300,0.052129872683121484,0.0026032407910782
800,1400,0.041210003536452794,0.00231458504330001
800,1500,0.03016,0.0019801002597231703
800,1600,0.005337807941555051,0.0016094102971222902
800,1700,0.00145143463530546,0.00083798561563119
800,1800,0.00237226590466866,0.0010609111195371
800,2000,0.00662998950594032,0.0009283856455758301
900,900,0.0011700008050892201,0.00039000019315283004
900,1000,0.00026000000000000003,0.00018384773629911
900,1100,0.0039000000000000003,0.00071203914765789
900,1200,0.01832991059488134,0.00154366022821764
900,1300,0.05343005732736399,0.00263551129364848
900,1400,0.054729990701654976,0.0026673751008177
900,1500,0.042509904205291514,0.00235080449832319
900,1600,0.03067992635604442,0.00199709601419107
1000,1000,0.0016908420034175801,0.00046895525491893
1000,1100,0.00026007787843297,0.00018390291749102
