ew_mass,sq_mass,eff,eff_err
150,700,0.00572001282807474,0.00086232448330015
150,800,0.0066299993709118005,0.00092838432614109
150,900,0.00585,0.00087206676898302
150,1000,0.004030008017407841,0.0007238091530549101
150,1100,0.00429,0.00074679378159906
150,1200,0.00246999230203245,0.0005666547775265
150,1300,0.0025999917708757203,0.00058137757397486
150,1400,0.0013000000000000002,0.00041109565089515
150,1500,0.00078000269694087,0.00031843331656812004
150,1600,0.00047050418594426,0.00047050349856484
150,1700,0.0006500013207755601,0.00029068952226301
150,1800,0.00051999906544677,0.00025999967875349
150,2000,0.0,0.0
150,2200,0.0,0.0
250,700,0.0,0.0
250,800,0.00558999435226999,0.0008524647288405301
250,900,0.00416000165789221,0.0007353907556368101
250,1000,0.00415999080461614,0.00073539086864451
250,1100,0.00389999428676312,0.0007120391292600301
250,1200,0.00337998679946122,0.00066286990200639
250,1300,0.00155999917848099,0.00045033308663668
250,1400,0.00155999924564016,0.00045033387041786
250,1500,0.00103999731089696,0.00036769556491629004
250,1600,0.00049335816893051,0.00049335805500904
250,1700,0.00048835449124488,0.00048835436095979
250,1800,0.0,0.0
250,2000,0.00048130223433669,0.0004813028310051
250,2200,0.0,0.0
400,700,0.0038349990060552305,0.00049927425045641
400,800,0.007214955730293871,0.00068481559369171
400,1300,0.0032500000000000003,0.00065000005527145
400,1400,0.0016899999999999999,0.00046872118102667
400,1500,0.00194999593833668,0.00050348690686346
400,1800,0.0038999942867735202,0.0007120391292600301
400,2000,0.0,0.0
400,2200,0.00049884867212245,0.00049884863374541
500,700,0.00273000401411803,0.00059573553812747
500,800,0.00559000565116266,0.00085246799493596
500,900,0.00663000330445063,0.00092838585633638
500,1000,0.0058500014314273995,0.00087206657547685
500,1100,0.0048099942751421605,0.00079075766240575
500,1200,0.00441999119928054,0.00075802284121551
500,1300,0.00351000780403611,0.00067549956230068
500,1400,0.00233999849131867,0.00055154321391884
500,1500,0.0013000000000000002,0.00041109632258058004
500,1600,0.0009451120742273601,0.00066829445126704
500,1700,0.0009393043313095,0.0006641887383937
500,1800,0.00048817230792824,0.00048817238157935003
500,2000,0.0,0.0
600,700,0.00095333314418199,0.00020325154689775
600,800,0.00329333557515287,0.00037777099339902
600,900,0.00593667525614852,0.0005072034126731
600,1300,0.00454998576008379,0.00076909102201646
600,1400,0.00325000442900497,0.00065000154513814
600,1500,0.0026000000000000003,0.0005813777315788
600,1800,0.0,0.0
600,2000,0.0,0.0
700,700,0.00054450238149463,0.00027225153938528003
700,800,0.00169000062837528,0.00046872272557565
700,900,0.00312,0.00063686787471554
700,1000,0.00714999714149019,0.00096410721387526
700,1100,0.00584999714146211,0.00087206480974028
700,1200,0.006499978002843,0.00091923517000601
700,1300,0.004679994232959761,0.00078000117439452
700,1400,0.00454998867523772,0.0007690906274079601
700,1500,0.00286000270624835,0.00060975412914338
700,1600,0.00141253271768973,0.0008155254931684901
700,1700,0.0023914622716114,0.00106949541311262
700,1800,0.00050212279963664,0.00050212324445816
700,2000,0.0,0.0
800,800,0.0,0.0
800,900,0.0015600023846859402,0.00045033335938227
800,1000,0.00454999370935174,0.00076909047940192
800,1100,0.00883997710953773,0.00107200705144806
800,1200,0.00909996281535835,0.0010876535323264
800,1300,0.006110003313075481,0.0008912352489426101
800,1400,0.00403000176825194,0.00072380916372479
800,1500,0.00428999999999987,0.00074679267589628
800,1600,0.00194102247533103,0.0009705117315745801
800,1700,0.00048381120760153997,0.00048381104418582005
800,1800,0.0,0.0
800,2000,0.0009099998562473,0.00034394735145172996
900,900,0.00078,0.00031843368857157
900,1000,0.0013000000000000002,0.00041109663266035006
900,1100,0.00571999999999987,0.00086232300875422
900,1200,0.0075399677148307205,0.00099004656186618
900,1300,0.00975001184447888,0.00112583309978074
900,1400,0.00728001948222757,0.00097283025116108
900,1500,0.00532998863450677,0.0008324066195003001
900,1600,0.00376999631779992,0.00070007173746744
1000,1000,0.00039019456787038,0.00022527885638908002
1000,1100,0.00104031024741839,0.00036780594397573007
