ew_mass,sq_mass,eff,eff_err
150,700,0.0,0.0
150,800,0.00013000000000000002,0.00012999994550792174
150,900,0.00039,0.00022516667153656
150,1000,0.00039000114534393996,0.00022516666170856002
150,1100,0.0005199999999998701,0.0002599999937236
150,1200,0.00090999670087144,0.00034394645107524
150,1300,0.00220999300524639,0.00053600363897301
150,1400,0.00273000112989149,0.00059573538612835
150,1500,0.00468000269694334,0.0007800003083197
150,1600,0.03293529301601553,0.00393651584338623
150,1700,0.01261000132078505,0.0012803516437303799
150,1800,0.01091996635610855,0.0011914674755185801
150,2000,0.03816339234497764,0.00432114697853124
150,2200,0.03450884959408744,0.00412459940002968
250,700,0.03156513417273996,0.00391517640561008
250,800,0.00013000000000000002,0.0001299998355646943
250,900,0.00013000000000000002,0.00013000001176942
250,1000,0.00051999885057718,0.0002600000541164
250,1100,0.00013000000000000002,0.00012999979691757487
250,1200,0.00090999669986693,0.00034394622213666
250,1300,0.00155999917848099,0.00045033308663668
250,1400,0.0037699984912931903,0.00070007092755574
250,1500,0.00766999529406929,0.00099854806222834
250,1600,0.02664135996636179,0.00362543464806081
250,1700,0.030766296058347853,0.00387619159030662
250,1800,0.03778505737058975,0.00425114626485471
250,2000,0.04042952959800612,0.00441121508777833
250,2200,0.03194225847261306,0.00402434416303231
400,700,0.0,0.0
400,800,0.0,0.0
400,1300,0.0019500000000000001,0.00050348810087342
400,1400,0.0019500000000000001,0.00050348911574494
400,1500,0.00454999593834851,0.0007690892400431501
400,1800,0.00013000000000000002,0.00012999979691749236
400,2000,0.04448290479187724,0.004715178248287
400,2200,0.03940903206952309,0.00443386297693274
500,700,0.0,0.0
500,800,0.0,0.0
500,900,0.00013000000000000002,0.00012999997674234851
500,1000,0.00013000000000000002,0.0001300001146548
500,1100,0.00013000000000000002,0.00012999971461419518
500,1200,0.00103999779981656,0.0003676955711897
500,1300,0.0010400004107357801,0.00036769536744889
500,1400,0.0015600015086812,0.00045033262191164
500,1500,0.00220999729591875,0.0005360037285729101
500,1600,0.02410032331772338,0.0033747156626944804
500,1700,0.03287567629176376,0.003929395119504401
500,1800,0.036124737510672855,0.00419941449768867
500,2000,0.04517938303662212,0.00468488615105173
600,700,0.0,0.0
600,800,4.333335575152912e-05,4.333333505847009e-05
600,900,0.0,0.0
600,1300,0.0006500000000000001,0.00029068852920731
600,1400,0.0011699999999998701,0.00039000052470301004
600,1500,0.00246999918922679,0.0005666566866194
600,1800,0.030117728146469604,0.00385618065677845
600,2000,0.03918606156652954,0.004381142786392841
700,700,0.0,0.0
700,800,0.0,0.0
700,900,0.0,0.0
700,1000,0.00013000000000000002,0.00013000010448841
700,1100,0.0,0.0
700,1200,0.00025999890014137,0.00018384690240397
700,1300,0.00090999979403567,0.00034394794847335004
700,1400,0.00051999924501538,0.00026000004726215
700,1500,0.0009100027062483501,0.00034394768552404003
700,1600,0.0160087001401028,0.00274546737057008
700,1700,0.02439293221891136,0.00341569215327093
700,1800,0.03163378337514538,0.00398548006345034
700,2000,0.04735424447084617,0.00485844939933873
800,800,0.0,0.0
800,900,0.0,0.0
800,1000,0.00013000000000000002,0.00013000007254481002
800,1100,0.00013000000000000002,0.00012999996842722537
800,1200,0.00025999876051175004,0.00018384706179306999
800,1300,0.00026000094659396,0.00018384753822903
800,1400,0.0006500000000000001,0.00029068901560114
800,1500,0.00091,0.00034394725188993
800,1600,0.022807025682000822,0.0033267442369860397
800,1700,0.019352428054054422,0.00305988803839446
800,1800,0.02609493304449005,0.00351864598092228
800,2000,0.01052999094351139,0.00116999905368541
900,900,0.0,0.0
900,1000,0.0,0.0
900,1100,0.0,0.0
900,1200,0.00025999875826236,0.00018384721909996002
900,1300,0.00013000000000000002,0.0001300001525329
900,1400,0.00025999999999987,0.00018384771277431
900,1500,0.0006499991881800301,0.00029068828185878
900,1600,0.0005200000000000001,0.00026000010168938004
1000,1000,0.00026012982431605,0.00018393962205723001
1000,1100,0.0,0.0
