ew_mass,sq_mass,eff,eff_err
150,700,0.03639993585958925,0.00217531643381741
150,800,0.08371984650451318,0.00329902503499582
150,900,0.16912987565114007,0.00468902733981214
150,1000,0.2467400641394325,0.005663586530629041
150,1100,0.3214899143040641,0.006464792770013631
150,1200,0.3811583328409272,0.00703920827632815
150,1300,0.42991001769229575,0.00747586036036528
150,1400,0.47268105004245775,0.00783890318637504
150,1500,0.5127202804829638,0.008164152621034931
150,1600,0.5222584441376993,0.0156756013671855
150,1700,0.5619901043409143,0.00854745038417751
150,1800,0.5913708448361911,0.00876800085269888
150,2000,0.5783210356135663,0.0168213466832853
150,2200,0.5822144238881816,0.01694172572708551
250,700,0.5220385349100719,0.01592203496897195
250,800,0.06526010918942138,0.00291269044384305
250,900,0.1250600610652054,0.00403209742722826
250,1000,0.22256014022921045,0.00537891929102281
250,1100,0.30939945153065596,0.0063420723873630494
250,1200,0.378167917613376,0.007011541234889361
250,1300,0.42522971000321363,0.00743505171572358
250,1400,0.4878894349890907,0.00796402244088815
250,1500,0.5038801694135047,0.00809348661869943
250,1600,0.504212387842399,0.01577204154128954
250,1700,0.5303507312980786,0.01609347628940038
250,1800,0.5490787547390472,0.01620553942120789
250,2000,0.5713067935536142,0.01658226372764299
250,2200,0.6074083788457375,0.01754905483315283
400,700,0.008579994888282481,0.00074679303905557
400,800,0.02502492621721495,0.0012753890025193199
400,1300,0.3980610786653847,0.0071935945286318095
400,1400,0.4488890025577898,0.00763909441067331
400,1500,0.48593890010115764,0.00794808259774672
400,1800,0.3093994515294232,0.00634207238736591
400,2000,0.6082654793134635,0.01743605849623833
400,2200,0.6046020544514124,0.01736681379821089
500,700,0.0045500066902017,0.00076909096225468
500,800,0.01157000439535057,0.0012264184434747699
500,900,0.0325,0.0020554801113739102
500,1000,0.08372011336932192,0.00329903113233681
500,1100,0.18238986260348428,0.00486935489585389
500,1200,0.2679294587548894,0.00590176219705826
500,1300,0.34762040170210223,0.006722386943345321
500,1400,0.42250103721468735,0.00741113738371955
500,1500,0.4700799783681481,0.00781731721276519
500,1600,0.5084705544977476,0.0155009641585591
500,1700,0.5396284194530419,0.015919740332999362
500,1800,0.5545633899910611,0.016453662108527542
500,2000,0.5771294510263789,0.01674424828027055
600,700,0.00242666799072568,0.00032427715290256
600,800,0.005330003362738081,0.00048058987794012003
600,900,0.01547003738665099,0.0008187597793905401
600,1300,0.2934087440390396,0.0061760185403508805
600,1400,0.3812908149365098,0.00704043804761362
600,1500,0.4369296927128145,0.00753663336384608
600,1800,0.5564372205000431,0.01657501814234474
600,2000,0.5853429131939021,0.016932717013333293
700,700,0.00353927676333387,0.00069410832855741
700,800,0.00247000188512779,0.0005666579294493
700,900,0.006500006903703691,0.00091923916519409
700,1000,0.01988998685080095,0.0016080116988039
700,1100,0.04679991996094168,0.0024665717623992903
700,1200,0.11829970303815612,0.00392159400653865
700,1300,0.2304900558166089,0.00547391240804421
700,1400,0.3216199350715493,0.00646611148558492
700,1500,0.3945498782178724,0.00716181509066205
700,1600,0.480260405145902,0.01503753514823157
700,1700,0.4926412379802372,0.01535013987352664
700,1800,0.5679012581009563,0.01688657171277947
700,2000,0.5886886876899623,0.01713013756265149
800,800,0.0037699919608276903,0.0007000698148802801
800,900,0.00298999463445644,0.00062345739929148
800,1000,0.008969991193073821,0.00107986339964217
800,1100,0.02066995676240196,0.00163923656363623
800,1200,0.05693973227066346,0.00272068645186455
800,1300,0.13402988688169926,0.00417419334150624
800,1400,0.23971993634282734,0.0055824472576030595
800,1500,0.32993959438319387,0.00654920873808747
800,1600,0.4673013426205204,0.01505856509946542
800,1700,0.48381120760165375,0.01529944856771617
800,1800,0.5071909182027312,0.01551252416794457
800,2000,0.5937095484693389,0.00878534222067827
900,900,0.005459995169464031,0.00084249619515724
900,1000,0.00351000156631761,0.00067549989804466
900,1100,0.00871003488911465,0.00106409591081274
900,1200,0.02053995529745796,0.0016340673258941202
900,1300,0.05837016061137079,0.00275465443595407
900,1400,0.14664003188033173,0.00436614144641662
900,1500,0.25323997402183834,0.0057376903988131
900,1600,0.3545102393427352,0.006788694985046651
1000,1000,0.006763374757794851,0.00093791111601525
1000,1100,0.00390117134229563,0.0007122534996072601
